username,limit,used_total,used_batch,used_tss
HTc017-d,1000.0,0,0,0
NIa001-d,15000.0,0,0,0
FMa001-s,1000.0,0,0,0
CFc001-s,2000.0,0,0,0
SMa070-d,15000.0,0,0,0
FIa158-d,1000.0,0,0,0
MHc001-d,15000.0,0,0,0
ENa033-s,200.0,0,0,0
FIa161-s,2000.0,0,0,0
FIa158-s,200.0,0,0,0
SMa070-s,2000.0,0,0,0
FIa161-d,15000.0,0,0,0
MHc001-s,2000.0,0,0,0
ENa043-d,1000.0,0,0,0
FIg023-s,2000.0,0,0,0
FMa033-d,100.0,0,0,0
FIg023-d,15000.0,227.06042999999988,227.06042999999988,0
FIg024-d,15000.0,0,0,0
FIg024-s,0.0,0,0,0
ENc001-s,2000.0,0,0,0
BFa001-s,2000.0,0,0,0
FIa169-s,200.0,0,0,0
FIa166-d,15000.0,14.244926666666665,14.244926666666665,0
ENa049-s,200.0,0,0,0
FIa169-d,1000.0,0,0,0
BFa029-d,15000.0,0,0,0
BFa001-d,15000.0,0,0,0
ENc001-d,15000.0,0,0,0
ENa049-d,1000.0,0,0,0
FIa166-s,2000.0,0,0,0
NIa030-s,2000.0,0,0,0
EIc006-d,1000.0,0,0,0
ENa040-s,200.0,0,0,0
EIc006-s,200.0,0,0,0
NIa030-d,15000.0,0,0,0
ENa040-d,1000.0,0,0,0
BFa026-s,2000.0,0,0,0
SEd001-d,15000.0,0,0,0
MSa001-d,15000.0,0,0,0
NIa034-s,2000.0,0,0,0
SEd001-s,2000.0,0,0,0
BFa026-d,15000.0,0,0,0
NIa034-d,15000.0,0,0,0
MSa001-s,2000.0,0,0,0
SMa080-s,2000.0,0,0,0
EIc001-d,15000.0,0,0,0
FMa024-s,100.0,0,0,0
EIc001-s,2000.0,0,0,0
SMa080-d,15000.0,0,0,0
BFa029-s,2000.0,0,0,0
SMa076-s,2000.0,0,0,0
BFa032-s,2000.0,0,0,0
FIg021-d,15000.0,0,0,0
FIg022-d,1000.0,0,0,0
fj-okada-s,2.0,0,0,0
SMf001-d,15000.0,0,0,0
FMa036-d,100.0,0,0,0
FIg021-s,2000.0,0,0,0
CFb019-s,2000.0,0,0,0
FIg022-s,200.0,0,0,0
SWc009-d,15000.0,0,0,0
NIa050-s,200.0,0,0,0
CFb001-d,15000.0,0,0,0
NIa050-d,1000.0,0,0,0
CFb001-s,2000.0,0,0,0
FMa027-s,50.0,0,0,0
STa003-s,2000.0,0,0,0
SMa076-d,15000.0,0,0,0
FMa028-d,100.0,0,0,0
STa003-d,15000.0,0,0,0
FMa028-s,50.0,0,0,0
RFa060-s,2000.0,0,0,0
NIa037-d,15000.0,0,0,0
FMa027-d,100.0,0,0,0
NIa037-s,2000.0,0,0,0
FMa036-s,50.0,0,0,0
NIa018-d,1000.0,52.46361416666666,52.46361416666666,0
BFa028-s,2000.0,0,0,0
SMa081-s,200.0,0,0,0
FMa024-d,500.0,0,0,0
BFa028-d,15000.0,0,0,0
CFb020-s,2000.0,0,0,0
CFb020-d,15000.0,0,0,0
ENb001-s,2000.0,0,0,0
ENb001-d,15000.0,0,0,0
HTc020-d,15000.0,0,0,0
CFb004-d,15000.0,9.947288611111112,9.947288611111112,0
FIr001-d,15000.0,459.9731202777777,459.9731202777777,0
CFb004-s,2000.0,0,0,0
HTc020-s,2000.0,0,0,0
FIr001-s,2000.0,0,0,0
INa002-d,15000.0,0,0,0
HTc027-d,1000.0,0,0,0
SWc009-s,2000.0,0,0,0
INa002-s,2000.0,0,0,0
HTc027-s,200.0,0,0,0
SMa082-s,2000.0,0,0,0
SMa082-d,15000.0,0,0,0
FIp001-s,2000.0,0,0,0
SWb019-d,15000.0,0,0,0
FIp001-d,15000.0,0,0,0
INh001-d,15000.0,0,0,0
NIa032-s,2000.0,0,0,0
INh001-s,2000.0,0,0,0
RCb001-d,15000.0,0,0,0
SWb019-s,2000.0,0,0,0
RCb001-s,2000.0,0,0,0
ENa041-d,1000.0,0,0,0
FIa138-s,200.0,0,0,0
FIa130-d,1000.0,0,0,0
ENb002-d,1000.0,0,0,0
FIa138-d,1000.0,0,0,0
ENb002-s,200.0,0,0,0
FIa130-s,200.0,0,0,0
RFa004-s,200.0,0,0,0
ENb005-s,200.0,0,0,0
NIa027-d,15000.0,0,0,0
ENb005-d,1000.0,0,0,0
RFa004-d,1000.0,0,0,0
HTc026-d,1000.0,0,0,0
SEa007-d,1000.0,0,0,0
SMa048-s,200.0,0,0,0
HTc026-s,200.0,0,0,0
NIa027-s,2000.0,0,0,0
SMa048-d,1000.0,0,0,0
SEa007-s,200.0,0,0,0
FIa170-s,2000.0,0,0,0
LEb001-s,2000.0,0,0,0
SMf001-s,2000.0,0,0,0
GEb019-s,2000.0,0,0,0
FIp002-d,15000.0,0,0,0
LEb001-d,15000.0,0,0,0
ENa041-s,200.0,0,0,0
FIa170-d,15000.0,0,0,0
FIp002-s,2000.0,0,0,0
GEb019-d,15000.0,0,0,0
RFa061-s,2000.0,0,0,0
SMa007-d,15000.0,0,0,0
SMa022-d,1000.0,0,0,0
NIa047-s,2000.0,0,0,0
NIa040-s,2000.0,0,0,0
NIa047-d,15000.0,0,0,0
SMa022-s,200.0,0,0,0
SMa007-s,2000.0,0,0,0
NIa040-d,15000.0,0,0,0
FMa031-s,100.0,0,0,0
HTc006-d,1000.0,0,0,0
FMa032-d,100.0,0,0,0
FMa031-d,500.0,14.70344361111111,14.70344361111111,0
FMa032-s,50.0,0,0,0
HTc006-s,200.0,0,0,0
HTc001-s,2000.0,0,0,0
